Year,Name,Nationality,Team,Points
1950,Nino Farina,ITA,Alfa Romeo,30.0
1951,Juan Manuel Fangio,ARG,Alfa Romeo,31.0
1952,Alberto Ascari,ITA,Ferrari,36.0
1953,Alberto Ascari,ITA,Ferrari,34.5
1954,Juan Manuel Fangio,ARG,Mercedes-Benz,42.0
1955,Juan Manuel Fangio,ARG,Mercedes-Benz,40.0
1956,Juan Manuel Fangio,ARG,Ferrari,30.0
1957,Juan Manuel Fangio,ARG,Maserati,40.0
1958,Mike Hawthorn,GBR,Ferrari,42.0
1959,Jack Brabham,AUS,Cooper Climax,31.0
1960,Jack Brabham,AUS,Cooper Climax,43.0
1961,Phil Hill,USA,Ferrari,34.0
1962,Graham Hill,GBR,BRM,42.0
1963,Jim Clark,GBR,Lotus Climax,54.0
1964,John Surtees,GBR,Ferrari,40.0
1965,Jim Clark,GBR,Lotus Climax,54.0
1966,Jack Brabham,AUS,Brabham Repco,42.0
1967,Denny Hulme,NZL,Brabham Repco,51.0
1968,Graham Hill,GBR,Lotus Ford,48.0
1969,Jackie Stewart,GBR,Matra Ford,63.0
1970,Jochen Rindt,AUT,Lotus Ford,45.0
1971,Jackie Stewart,GBR,Tyrrell Ford,62.0
1972,Emerson Fittipaldi,BRA,Lotus Ford,61.0
1973,Jackie Stewart,GBR,Tyrrell Ford,71.0
1974,Emerson Fittipaldi,BRA,McLaren Ford,55.0
1975,Niki Lauda,AUT,Ferrari,64.5
1976,James Hunt,GBR,McLaren Ford,69.0
1977,Niki Lauda,AUT,Ferrari,72.0
1978,Mario Andretti,USA,Lotus Ford,64.0
1979,Jody Scheckter,RSA,Ferrari,51.0
1980,Alan Jones,AUS,Williams Ford,67.0
1981,Nelson Piquet,BRA,Brabham Ford,50.0
1982,Keke Rosberg,FIN,Williams Ford,44.0
1983,Nelson Piquet,BRA,Brabham BMW,59.0
1984,Niki Lauda,AUT,McLaren TAG,72.0
1985,Alain Prost,FRA,McLaren TAG,73.0
1986,Alain Prost,FRA,McLaren TAG,72.0
1987,Nelson Piquet,BRA,Williams Honda,73.0
1988,Ayrton Senna,BRA,McLaren Honda,90.0
1989,Alain Prost,FRA,McLaren Honda,76.0
1990,Ayrton Senna,BRA,McLaren Honda,78.0
1991,Ayrton Senna,BRA,McLaren Honda,96.0
1992,Nigel Mansell,GBR,Williams Renault,108.0
1993,Alain Prost,FRA,Williams Renault,99.0
1994,Michael Schumacher,GER,Benetton Ford,92.0
1995,Michael Schumacher,GER,Benetton Renault,102.0
1996,Damon Hill,GBR,Williams Renault,97.0
1997,Jacques Villeneuve,CAN,Williams Renault,81.0
1998,Mika Hakkinen,FIN,McLaren Mercedes,100.0
1999,Mika Hakkinen,FIN,McLaren Mercedes,76.0
2000,Michael Schumacher,GER,Ferrari,108.0
2001,Michael Schumacher,GER,Ferrari,123.0
2002,Michael Schumacher,GER,Ferrari,144.0
2003,Michael Schumacher,GER,Ferrari,93.0
2004,Michael Schumacher,GER,Ferrari,148.0
2005,Fernando Alonso,ESP,Renault,133.0
2006,Fernando Alonso,ESP,Renault,134.0
2007,Kimi RÃ¤ikkÃ¶nen,FIN,Ferrari,110.0
2008,Lewis Hamilton,GBR,McLaren Mercedes,98.0
2009,Jenson Button,GBR,Brawn Mercedes,95.0
2010,Sebastian Vettel,GER,RBR Renault,256.0
2011,Sebastian Vettel,GER,Red Bull Racing Renault,392.0
2012,Sebastian Vettel,GER,Red Bull Racing Renault,281.0
2013,Sebastian Vettel,GER,Red Bull Racing Renault,397.0
2014,Lewis Hamilton,GBR,Mercedes,384.0
2015,Lewis Hamilton,GBR,Mercedes,381.0
2016,Nico Rosberg,GER,Mercedes,385.0
2017,Lewis Hamilton,GBR,Mercedes,363.0
2018,Lewis Hamilton,GBR,Mercedes,408.0
2019,Lewis Hamilton,GBR,Mercedes,413.0
2020,Lewis Hamilton,GBR,Mercedes,347.0
